Goal,goal,goals,sdg,sdgs,sustainable development goal,sustainable development goals,aim,aims
Target,target,targets,objective,objectives
Indicator,indicator,indicators,measure,measures,criterion,criteria
Ministry,ministry,ministries,government,government department,government departments
Transformation,transformation,transformations,sdg transformation,sdg transformations
Intervention,intervention,interventions,action,actions
IntermediateOutput,intermediate output,intermediate outputs,result,results,outcome,outcomes,effect,effects
